Name,Scores,Questions,link,title,cc
Anna,97,2200,,,
,,,http://books.uc.pt/book?book=1324,"A deficiência em Portugal: Lugares, corpos e lutas",1.0
,,,http://books.uc.pt/book?book=1323,Medievalismo literário português em contexto europeu,1.0
,,,http://books.uc.pt/book?book=1325,O espaço urbano do Porto: Condições naturais e desenvolvimento,1.0
,,,http://books.uc.pt/book?book=1326,Sequenciação de DNA – NGS: Manual de Boas Práticas,1.0
,,,http://books.uc.pt/book?book=1322,Identidade Romana e Contemporaneidade,1.0
,,,http://books.uc.pt/book?book=1321,Memórias em Movimento: História e Trauma nos Cinemas Ibero-Americanos,1.0
,,,http://books.uc.pt/book?book=1318,Theatre About Science. Theory and Practice,1.0
,,,http://books.uc.pt/book?book=1320,"Medicina Personalizada de Base Genómica: Boas Práticas, Ética e Direito",1.0
,,,http://books.uc.pt/book?book=1316,O dispositivo mnemónico: Uma história da memória da luta de libertação em Cabo Verde,1.0
,,,http://books.uc.pt/book?book=1319,Os mundos do (sub) desenvolvimento: histórias do século xx,0.0
,,,http://books.uc.pt/book?book=1308,Protocolo Unificado para o Tratamento Transdiagnóstico das Perturbações Emocionais: Manual de Exercícios,0.0
,,,http://books.uc.pt/book?book=1309,Protocolo Unificado para o Tratamento Transdiagnóstico das Perturbações Emocionais: Manual do Terapeuta,0.0
,,,http://books.uc.pt/book?book=1310,"30 anos, 30 antropólogos",1.0
,,,http://books.uc.pt/book?book=1312,A Universidade de Coimbra e seus Estudantes aos Olhos dos Viajantes Estrangeiros (1581-1879): 298 Anos de Fragmentos Literários,1.0
,,,http://books.uc.pt/book?book=1313,Historiographical Alexander: Alexander the Great and the Historians in XIXth and XXth Centuries,1.0
,,,http://books.uc.pt/book?book=1315,Mito e drama: Teatro clássico no seu tempo e no nosso,1.0
,,,http://books.uc.pt/book?book=1314,What’s Hecuba to me? Personajes Míticos y Monólogos Dramáticos Contemporáneos para la Enseñanza Universitaria en Humanidades,1.0
,,,http://books.uc.pt/book?book=1300,As Relações Luso-Marroquinas no Século XVI: Presença Portuguesa em Agadir e região de Sus (1505-1541),1.0
,,,http://books.uc.pt/book?book=1305,Contribuições da Geografia para o Ensino dos Riscos,1.0
,,,http://books.uc.pt/book?book=1298,"Gaio Suetónio Tranquilo, Vidas dos Césares. Livro VII. Galba, Otão e Vitélio",1.0
,,,http://books.uc.pt/book?book=1299,"Gaio Suetónio Tranquilo, Vidas dos Césares. Livro VIII. Os Flávios. Vidas de Vespasiano, Tito e Domiciano",1.0
,,,http://books.uc.pt/book?book=1303,Manuscrito Musical 51 da Biblioteca Geral da Universidade de Coimbra: Música para o Natal (1649) Vol. III.1,1.0
,,,http://books.uc.pt/book?book=1297,"Museu de Arqueologia D. Diogo De Sousa. The Bühler-Brockhaus Donation: Obras-Primas nas Coleções de Antiguidades Gregas, Etruscas e Romanas ",1.0
,,,http://books.uc.pt/book?book=1307,Pausânias. Descrição da Grécia. Livro V,1.0
,,,http://books.uc.pt/book?book=1288,A Oficina de Gil Vicente,1.0
,,,http://books.uc.pt/book?book=1293,Cantata de Natal “O Pássaro Azul”,1.0
,,,http://books.uc.pt/book?book=1291,Compêndio de Direito Empresarial,1.0
,,,http://books.uc.pt/book?book=1294,European Public Sector Accounting,1.0
,,,http://books.uc.pt/book?book=1289,"Formação Inicial de Professores, Flexibilidade e Avaliação Educativas: da Teoria à Prática",1.0
,,,http://books.uc.pt/book?book=1290,Literatura e Outras Artes em Diálogo: Contributos para uma Didática Transversal,1.0
,,,http://books.uc.pt/book?book=1296,O Curso Aristotélico Jesuíta Conimbricense. Tomo III: De Caelo – Parte II,1.0
,,,http://books.uc.pt/book?book=1295,Ter Presente: Arquiteturas em Arquivo,1.0
,,,http://books.uc.pt/book?book=1284,Artes Performativas e Intimidade,1.0
,,,http://books.uc.pt/book?book=1283,"Cornélio Nepos. Vidas de Epaminondas, Catão e Ático. Fragmentos",1.0
,,,http://books.uc.pt/book?book=1306,"Eritrina, a heroína",1.0
,,,http://books.uc.pt/book?book=1287,Medicina Genómica: Breve Guia Ilustrado,1.0
,,,http://books.uc.pt/book?book=1286,Neurociências e Saúde Mental: Da Essência ao Contexto,1.0
,,,http://books.uc.pt/book?book=1285,O Centro de Estudos de Química Nuclear e Radioquímica no florescimento da investigação em Química na Universidade de Coimbra,1.0
,,,http://books.uc.pt/book?book=1282,Pausânias. Descrição da Grécia. Livro IV,1.0
,,,http://books.uc.pt/book?book=1281,A Independência e o Brasil independente Vol. I,1.0
,,,http://books.uc.pt/book?book=1280,A Independência e o Brasil independente Vol. II,1.0
,,,http://books.uc.pt/book?book=1304,A Saúde no Saber - Um Projeto de Promoção da Literacia em Saúde,1.0
,,,http://books.uc.pt/book?book=1311,Medeia,1.0
,,,http://books.uc.pt/book?book=1276,"Obras de Ernesto da Silva, o apóstolo do socialismo - Tomo I: Textos literários. Páginas de crítica teatral e teoria estética (1893-1903)",1.0
,,,http://books.uc.pt/book?book=1277,"Obras de Ernesto da Silva, o apóstolo do socialismo - Tomo II: Artigos jornalísticos (1893-1903)",1.0
,,,http://books.uc.pt/book?book=1278,"Obras de Ernesto da Silva, o apóstolo do socialismo - Tomo III: Escritos políticos, conferências e discursos (1893-1903)",1.0
,,,http://books.uc.pt/book?book=1275,Os discursos do Turismo e o desafio da sua tradução,1.0
,,,http://books.uc.pt/book?book=1317,Os Portugueses no Golfo 1507–1650: Uma História Interligada,1.0
,,,http://books.uc.pt/book?book=1267,A Produção Dramática no Período Helenístico e sua Influência na Literatura Greco­-Latina Posterior,1.0
,,,http://books.uc.pt/book?book=1272,Corporativismo: Ideias e Práticas,1.0
,,,http://books.uc.pt/book?book=1268,Essays on Production and Trade in Late Medieval Iberia and the Mediterranean: 1100-1500,1.0
,,,http://books.uc.pt/book?book=1269,Merleau-Ponty y el cuestionamiento de la metafísica del Sujeto,1.0
,,,http://books.uc.pt/book?book=1292,OTHER LANDSCAPES OF CULTURAL HERITAGE(S): history and politics,1.0
,,,http://books.uc.pt/book?book=1270,Princípios de Microeconomia - Questões e Exercícios,0.0
,,,http://books.uc.pt/book?book=1273,European Union as an International Actor: Peace and Security in Narratives and Practices,1.0
,,,http://books.uc.pt/book?book=1259,Defesa contra o Português Amatho,1.0
,,,http://books.uc.pt/book?book=1265,O livro de Valo: Um tratado militar português do século XVI,1.0
,,,http://books.uc.pt/book?book=1257,"COIMBRA, o ressurgimento da Cidade em 1537",1.0
,,,http://books.uc.pt/book?book=1256,"Conto dos Dois Irmãos: Estudo Histórico-Filológico com Texto Hieroglífico, Transliteração e Tradução",1.0
,,,http://books.uc.pt/book?book=1261,"Das culturas da alimentação ao culto dos alimentos, Volume I",1.0
,,,http://books.uc.pt/book?book=1262,"Das culturas da alimentação ao culto dos alimentos, Volume II",1.0
,,,http://books.uc.pt/book?book=1253,Estudar sem melancolia: Reflexões teóricas e aplicadas nos bastidores do sistema literário,1.0
,,,http://books.uc.pt/book?book=1274,Estudos Coreológicos (2016-2020): Contextos da Dança e da Música Antigas,1.0
,,,http://books.uc.pt/book?book=1264,Marcadores Discursivos e(m) Tradução III,1.0
,,,http://books.uc.pt/book?book=1260,Nós Globais: Investigações em curso sobre Questões da Globalização,1.0
,,,http://books.uc.pt/book?book=1263,Percursos nas Ciências da Educação: Lugar para a Utopia,1.0
,,,http://books.uc.pt/book?book=1252,"Temas, Contextos e Desafios da Investigação Qualitativa em Educação",1.0
,,,http://books.uc.pt/book?book=1255,Une valse à mille temps: Para Cristina Robalo Cordeiro,1.0
,,,http://books.uc.pt/book?book=1254,Vida da Faculdade de Letras 2021-2022,1.0
,,,http://books.uc.pt/book?book=1240,A Democracia Ateniense em Guerra,0.0
,,,http://books.uc.pt/book?book=1245,ANTOLOGIA. Francofonias em Diálogo: Dos anos 80 à atualidade,1.0
,,,http://books.uc.pt/book?book=1258,Cinco Joias de Coimbra: Património Mundial da Humanidade,1.0
,,,http://books.uc.pt/book?book=1249,Imagologia e Mobilidade - Movidas e Migrações Figuradas  ,1.0
,,,http://books.uc.pt/book?book=1241,Lo Stato capitalista e le sue Maschere,1.0
,,,http://books.uc.pt/book?book=1246,Miscelânea de Estudos em Honra de Maria de Fátima Sousa e Silva - Volume I,1.0
,,,http://books.uc.pt/book?book=1247,Miscelânea de Estudos em Honra de Maria de Fátima Sousa e Silva - Volume II,1.0
,,,http://books.uc.pt/book?book=1248,The European Integration Process: Crisis and Resilience in the Aftermath of the Covid-19 Pandemic,1.0
,,,http://books.uc.pt/book?book=1301,Palavras Ditas…: Volume I,1.0
,,,http://books.uc.pt/book?book=1302,Palavras Ditas…: Volume II,1.0
,,,http://books.uc.pt/book?book=1239,Pausânias. Descrição da Grécia. Livro III,1.0
,,,http://books.uc.pt/book?book=1227,The “ILO-Chair” at FEUC: Talks on the future of work,1.0
,,,http://books.uc.pt/book?book=1233,António Jorge Andrade de Gouveia. Um Pedaço de Química Portuguesa,1.0
,,,http://books.uc.pt/book?book=1232,Advances in Forest Fire Research 2022,1.0
,,,http://books.uc.pt/book?book=1226,Catálogo dos desenhos do Jardim Botânico da Universidade de Coimbra: Coleção do Departamento de Ciências da Vida - séculos XVIII a XX,1.0
,,,http://books.uc.pt/book?book=1236,Espaços vetoriais (reais): uma primeira abordagem dirigida a estudantes de economia e gestão,0.0
,,,http://books.uc.pt/book?book=1237,Impressões Sobre a Música Portuguesa e outros temas (II),1.0
,,,http://books.uc.pt/book?book=1231,O Regime Florestal em Serpins: Exposicão e Critica,1.0
,,,http://books.uc.pt/book?book=1234,Redes Científicas da Universidade de Coimbra no Iluminismo,1.0
,,,http://books.uc.pt/book?book=1235,Ricœuriana 2: Ricœur e a Questão da Imagem,1.0
,,,http://books.uc.pt/book?book=1271,Semicondutores e nanoestruturas: uma introdução,0.0
,,,http://books.uc.pt/book?book=1229,Teoria e desenvolvimento curricular: Caderno Prático,1.0
,,,http://books.uc.pt/book?book=1228,Valete Vos Viatores: Travelling through Latin inscriptions across the Roman Empire,1.0
,,,http://books.uc.pt/book?book=1217,A Universidade de Coimbra e a Independência do Brasil: Catálogo da exposição documental e bibliográfica,1.0
,,,http://books.uc.pt/book?book=1223,Avaliação Multicritério em Processos de Decisão,1.0
,,,http://books.uc.pt/book?book=1224,Boris Groys Philosophical Conversations - Towards Self-Design,1.0
,,,http://books.uc.pt/book?book=1222,Traces on The Sea: Portuguese Interaction With Asia,1.0
,,,http://books.uc.pt/book?book=1221,União Europeia como Ator Internacional: Paz e Segurança nas Narrativas e Práticas,1.0
,,,http://books.uc.pt/book?book=1212,As Ifigénias de Eurípides,1.0
,,,http://books.uc.pt/book?book=1213,Bichos Vividos ,1.0
,,,http://books.uc.pt/book?book=1216,[A1+] em Português: manual de português língua não materna,1.0
,,,http://books.uc.pt/book?book=1211,O Podcast e as novas dinâmicas dos conteúdos sonoros no ambiente digital,1.0
,,,http://books.uc.pt/book?book=1238,22 Contos Escolhidos,1.0
,,,http://books.uc.pt/book?book=1210,Observação dos Ventos. Sociedade & Direito (2010-2022),1.0
,,,http://books.uc.pt/book?book=1266,Raízes do Censo Consignativo: Para a história do crédito medieval português,1.0
,,,http://books.uc.pt/book?book=1207,Curso Jesuíta Conimbricense: Comentário ao De Anima de Aristóteles,1.0
,,,http://books.uc.pt/book?book=1206,"Obras de Maria Helena da Rocha Pereira X: Recensões Críticas, Notícias e Comentários",1.0
,,,http://books.uc.pt/book?book=1208,Pausânias. Descrição da Grécia. Livro II,1.0
,,,http://books.uc.pt/book?book=1225,"A biblioteca matemática da Universidade de Coimbra (1913-1969): génese, formação e desenvolvimento",1.0
,,,http://books.uc.pt/book?book=1200,A Fé dos Juízes: Inquisidores e processos por heresia em Portugal (1536-1774),1.0
,,,http://books.uc.pt/book?book=1205,Desafios Curriculares no Séc. XXI,1.0
,,,http://books.uc.pt/book?book=1201,"Escritos sobre Filosofia, Ciência e Arte: Egídio Namorado",1.0
,,,http://books.uc.pt/book?book=1203,Estudos Linguísticos - Volume I: Linguística Histórica e História da Língua Portuguesa,1.0
,,,http://books.uc.pt/book?book=1209,"Estudos Linguísticos - Volume II: Dialetologia, Sociolinguística e Línguas em Contacto",1.0
,,,http://books.uc.pt/book?book=1215,I Can´t Breathe  e outros textos,0.0
