bibtex_key,title,author,journal,year,source,pages,volume,abstract,document_type,doi,url,affiliation,author_keywords,keywords,publisher,issn,language,note,selection_criteria,created_at,updated_at,created_by,updated_by,status,comments
,The Current Landscape of Research and Practice on Visualizations and Dashboards for Learning Analytics,"Liu, Min and Han, Songhee and Shao, Peixia and Cai, Ying and Pan, Zilong",,2021,OpenAlex,23--46,,"While the research on learning analytics (LA) has increased rapidly in recent years, many inquiries remain insufficiently answered including how to effectively visualize data to better promote teaching and learning. First, this chapter provides a systematic literature review on the current research and practice of using visualizations as an analytic technique in LA research and explores the practice of dashboard designs as a means to communicate the research findings to stakeholders. The findings of this review show researchers use visualization or dashboard as a research methodology for analytical purposes and to enlighten their inquiry processes in research, while instructors and learners use it as a means of communication tools to inform about their educational practices. This chapter also describes a case study that uses visualization as a research tool to analyze data and communicate research findings and provides examples of designing a dashboard for teachers to support their teaching. This case illustrates an example of how visualizations and a dashboard are used in research and practice in support of the review conducted.",Book Section,10.1007/978-3-030-81222-5\_2,https://doi.org/10.1007/978-3-030-81222-5\_2,,,Dashboard | Learning Analytics | Information Visualization | Visual Analytics | Interactive Visualization | Graph Visualization,Springer International Publishing,2662-2122,,,,"45588,9518055556","45598,6462384259",thiagogomesverissimo,thiagogomesverissimo,Accepted,
,Staying on target: A systematic literature review on learner‐facing learning analytics dashboards.,"Valle, Natercia and  Antonenko, Pavlo and  Dawson, Kara and  Huggins‐Manley, Anne Corinne",British Journal of Educational Technology,2021,ebsco,1724 - 1748,52,"The advances in technology to capture and process unprecedented amounts of educational data has boosted the interest in Learning Analytics Dashboard (LAD) applications as a way to provide meaningful visual information to administrators, parents, teachers and learners. Despite the frequent argument that LADs are useful to support target users and their goals to monitor and act upon the information provided, little is known about LADs' theoretical underpinnings and the alignment (or lack thereof) between LADs intended outcomes and the measures used to evaluate their implementation. However, this knowledge is necessary to illuminate more efficient approaches in the development and implementation of LAD tools. Guided by the self‐regulated learning perspective and using the Preferred Reporting Items for Systematic Reviews and Meta‐Analyses (PRISMA) framework, this systematic literature review addressed this gap by examining whether and how learner‐facing LAD's target outcomes align with th)",,,https://search.ebscohost.com/login.aspx?direct=true&db=aph&AN=151267522&amp;lang=pt-br&site=ehost-live,,,"AUTODIDACTICISM, DASHBOARDS (Management information systems), LEARNING Management System, OPTICAL information processing, QUALITATIVE research, QUANTITATIVE research, EDUCATIONAL technology, evaluation, learning analytics dashboards, systematic literature review, target outcomes",,00071013,,,,"45598,5943981482","45598,6462037037",thiagogomesverissimo,thiagogomesverissimo,Duplicated,
,Learning analytics dashboards are increasingly becoming about learningand not just analytics - A systematic review,"Paulsen, Lucas and Lindsay, Euan",EDUCATION AND INFORMATION TECHNOLOGIES,2024,Web of Science,,,"This systematic review explores the emerging themes in the design and
implementation of student-facing learning analytics dashboards in higher
education. Learning Analytics has long been criticised for focusing too
much on the analytics, and not enough on the learning. The review is
then guided by an interest in whether these dashboards are still
primarily analytics-driven or if they have become pedagogically informed
over time. By mapping the identified themes of technological maturity,
informing frameworks, affordances, data sources, and analytical levels
over publications per year, the review identifies an emerging trajectory
towards student-focused dashboards. These dashboards are informed by
theory-oriented frameworks, designed to incorporate affordances that
supporting student learning, and realised through integration of more
than just activity data from learning management systems - allowing the
dashboards to better support students' learnings processes. Based on
this emerging trajectory, the review provides a series of design
recommendations for student-focused dashboards that are connected to
learning sciences as well as analytics.",Article; Early Access,10.1007/s10639-023-12401-4,,"Paulsen, L (Corresponding Author), Aalborg Univ, Dept Commun \& Psychol, Aalborg, Denmark.Paulsen, Lucas, Aalborg Univ, Dept Commun \& Psychol, Aalborg, Denmark.Lindsay, Euan, Aalborg Univ, Dept Sustainabil \& Planning, Aalborg, Denmark.",,Learning analytics; Dashboards; Systematic review; Trajectories; Highereducation,SPRINGER,1360-2357,English,,,"45588,952037037","45598,6455787037",thiagogomesverissimo,thiagogomesverissimo,Duplicated,
,"A checklist to guide the planning, designing, implementation, and evaluation of learning analytics dashboards: Revista de Universidad y Sociedad del Conocimiento","Kaliisa, Rogers and Jivet, Ioana and Prinsloo, Paul",,2023,ProQuest,28,20,"Higher education institutions are moving to design and implement teacher-facing learning analytics (LA) dashboards with the hope that instructors can extract deep insights about student learning and make informed decisions to improve their teaching. While much attention has been paid to developing teacher-facing dashboards, less is known about how they are designed, implemented and evaluated. This paper presents a systematic literature review of existing studies reporting on teacher-facing LA dashboards. Out of the 1968 articles retrieved from several databases, 50 articles were included in the final analysis. Guided by several frameworks, articles were coded based on the following dimensions: purpose, theoretical grounding, stakeholder involvement, ethics and privacy, design, implementation, and evaluation criteria. The findings show that most dashboards are designed to increase teachers’ awareness but with limited actionable insights to allow intervention. Moreover, while teachers are involved in the design process, this is mainly at the exploratory/problem definition stage, with little input beyond this stage. Most dashboards were prescriptive, less customisable, and implicit about the theoretical constructs behind their designs. In addition, dashboards are deployed at prototype and pilot stages, and the evaluation is dominated by self-reports and users’ reactions with limited focus on changes to teaching and learning. Besides, only one study considered privacy as a design requirement. Based on the findings of the study and synthesis of existing literature, we propose a four-dimensional checklist for planning, designing, implementing and evaluating LA dashboards.",Journal Article,https://doi.org/10.1186/s41239-023-00394-6,https://www.proquest.com/scholarly-journals/checklist-guide-planning-designing-implementation/docview/2808437705/se-2?accountid=14643,,,Social Sciences: Comprehensive Works | Teacher-facing dashboards | Design | Dashboard | Implementation | Learning analytics | Analytics | Evaluation | Systematic review | Dashboard evaluation | Teaching | Dashboards | Higher education institutions | Learning | Teachers | Privacy | Literature reviews | Higher education | Design Requirements | Check Lists | Literature Reviews | Learning Analytics,Springer Nature B.V.,,,"Copyright - © The Author(s) 2023. This work is published under http://creativecommons.org/licenses/by/4.0/ (the “License”). Notwithstanding the ProQuest Terms and Conditions, you may use this content in accordance with the terms of the License. | Última atualização em - 2024-08-07 | SubjectsTermNotLitGenreText - Check Lists; Learning Analytics; Literature Reviews; Design Requirements",,"45598,5943171296","45598,6446759259",thiagogomesverissimo,thiagogomesverissimo,Duplicated,
,"A checklist to guide the planning, designing, implementation, andevaluation of learning analytics dashboards","Kaliisa, Rogers and Jivet, Ioana and Prinsloo, Paul",INTERNATIONAL JOURNAL OF EDUCATIONAL TECHNOLOGY IN HIGHER EDUCATION,2023,Web of Science,,20,"Higher education institutions are moving to design and implement
teacher-facing learning analytics (LA) dashboards with the hope that
instructors can extract deep insights about student learning and make
informed decisions to improve their teaching. While much attention has
been paid to developing teacher-facing dashboards, less is known about
how they are designed, implemented and evaluated. This paper presents a
systematic literature review of existing studies reporting on
teacher-facing LA dashboards. Out of the 1968 articles retrieved from
several databases, 50 articles were included in the final analysis.
Guided by several frameworks, articles were coded based on the following
dimensions: purpose, theoretical grounding, stakeholder involvement,
ethics and privacy, design, implementation, and evaluation criteria. The
findings show that most dashboards are designed to increase teachers'
awareness but with limited actionable insights to allow intervention.
Moreover, while teachers are involved in the design process, this is
mainly at the exploratory/problem definition stage, with little input
beyond this stage. Most dashboards were prescriptive, less customisable,
and implicit about the theoretical constructs behind their designs. In
addition, dashboards are deployed at prototype and pilot stages, and the
evaluation is dominated by self-reports and users' reactions with
limited focus on changes to teaching and learning. Besides, only one
study considered privacy as a design requirement. Based on the findings
of the study and synthesis of existing literature, we propose a
four-dimensional checklist for planning, designing, implementing and
evaluating LA dashboards.",Review,10.1186/s41239-023-00394-6,,"Kaliisa, R (Corresponding Author), Univ Oslo, Dept Educ, POB 1092, N-0317 Oslo, Norway.Kaliisa, Rogers, Univ Oslo, Dept Educ, POB 1092, N-0317 Oslo, Norway.Jivet, Ioana, DIPF, Frankfurt, Germany.Jivet, Ioana, Goethe Univ Frankfurt, Frankfurt, Germany.Prinsloo, Paul, Univ South Africa, Dept Business Management, Pretoria, South Africa.",,Teacher-facing dashboards; Learning analytics; Systematic review;Dashboard evaluation,SPRINGER,2365-9440,English,,,"45588,952037037","45598,644224537",thiagogomesverissimo,thiagogomesverissimo,Duplicated,
,"A shared lens around sensemaking in learning analytics: What activity theory, definition of a situation and affordances can offer","Poquet, Oleksandra",British Journal of Educational Technology,2024,wiley,1811-1831,55,"Abstract The paper argues that learning analytics as a research field can benefit from a theory-informed shared language to describe sensemaking of learning and teaching data. To make the case for such shared language, first, I critically review prominent sensemaking theories to then demonstrate how studies in learning analytics do not use coherent descriptions of sensemaking, eclectically combining the paradigms that have underlying differences. I then propose a conceptualization of sensemaking that overcomes the differences between these theories and explains how the concepts of activity system, the definition of the situation and affordances can be used to capture individual differences in sensemaking. The paper concludes with a preliminary framework and examples demonstrating its utility in raising new theoretical questions, informing design principles and providing shared language for researchers in learning analytics.Practitioner notesWhat is already known about this topic Sensemaking happens when individuals try to explain unknown situations. Learning analytics uses sensemaking as a lens to understand dashboard use. Systematic analysis of sensemaking is essential for learning analytics. What this paper adds The paper notes that noticing and perceiving are commonly examined in learning analytics on dashboard use. The paper suggests a revision of fundamental assumptions in sensemaking. A paper proposes a toy model of sensemaking that includes operationalization of the definition of the situation, activity where sensemaking happens and processes of noticing and perceiving affordances. Implications for practice and/or policy Learning analytics must examine sensemaking of data about teaching and learning in a systematic manner. Internal perceptions of the social environment and activity that are informed by the data need to be considered in evaluating dashboard use.",,https://doi.org/10.1111/bjet.13435,https://onlinelibrary.wiley.com/doi/abs/10.1111/bjet.13435,,,"activity theory, definition of a situation, ecological perception theory, information elaboration, learning analytics, sensemaking",,,,,É um estudo primário sobre LA e não sobre LAD,"45598,5941087963","45598,6343981482",thiagogomesverissimo,thiagogomesverissimo,Rejected,
,A Current Overview of the Use of Learning Analytics Dashboards,"Masiello, Italo and Mohseni, Zeynab (Artemis) and Palma, Francis and Nordmark, Susanna and Augustsson, Hanna and Rundquist, Rebecka",,2024,ProQuest,82,14,"The promise of Learning Analytics Dashboards in education is to collect, analyze, and visualize data with the ultimate ambition of improving students’ learning. Our overview of the latest systematic reviews on the topic shows a number of research trends: learning analytics research is growing rapidly; it brings to the front inequality and inclusiveness measures; it reveals an unclear path to data ownership and privacy; it provides predictions which are not clearly translated into pedagogical actions; and the possibility of self-regulated learning and game-based learning are not capitalized upon. However, as learning analytics research progresses, greater opportunities lie ahead, and a better integration between information science and learning sciences can bring added value of learning analytics dashboards in education.",Journal Article,https://doi.org/10.3390/educsci14010082,https://www.proquest.com/scholarly-journals/current-overview-use-learning-analytics/docview/2918728114/se-2?accountid=14643,,,Education | learning analytics dashboards | Dashboard | Self-regulated learning | Privacy | Learning analytics | Analytics | LAD | trends | Higher education | Educational technology | Students | Literature reviews | Trends | Visualization | Publications | Systematic review | Teachers | United Kingdom--UK | United States--US | Undergraduate Students | Literature Reviews | Learning Processes | Learning Analytics | Germany,MDPI AG,,,"Copyright - © 2024 by the authors.  Licensee MDPI, Basel, Switzerland. This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution (CC BY) license (https://creativecommons.org/licenses/by/4.0/).  Notwithstanding the ProQuest Terms and Conditions, you may use this content in accordance with the terms of the License. | Última atualização em - 2024-08-27 | SubjectsTermNotLitGenreText - United States--US; Germany; United Kingdom--UK; Learning",,"45598,5943171296","45598,6316087963",thiagogomesverissimo,thiagogomesverissimo,Accepted,
,Work Route for the Inclusion of Learning Analytics in the Development of Interactive Multimedia Experiences for Elementary Education,"Solano, Andrés and Peláez, Carlos Alberto and Ospina, Johann A and Luna-García, Huizilopoztli and Parra, Jorge Andrick and Ramírez, Gabriel Mauricio and Moreira, Fernando and Sotelo, Jesús Alfonso López and Villalba-Condori, Klinge Orlando",,2024,ProQuest,7645,14,"Interactive multimedia experiences (IME) can be a pedagogical resource that has a strong potential to enhance learning experiences in early childhood. Learning analytics (LA) has become an important tool that allows us to understand more clearly how these multimedia experiences can contribute to the learning processes of these students. This article proposes a work route that defines a set of activities and techniques, as well as a flow for their application, by taking into consideration the importance of including LA guidelines when designing IMEs for elementary education. The work route’s graphical representation is inspired by the foundations of the Essence standard’s graphical notation language. The guidelines are grouped into five categories, namely (i) a data analytics dashboard, (ii) student data, (iii) teacher data, (iv) learning activity data, and (v) student progress data. The guidelines were validated through two approaches. The first involved a case study, where the guidelines were applied to an IME called Coco Shapes, which was aimed at transition students at the Colegio La Fontaine in Cali (Colombia), and the second involved the judgments of experts who examined the usefulness and clarity of the guidelines. The results from these approaches allowed us to obtain precise and effective feedback regarding the hypothesis under study. Our findings provide promising evidence of the value of our guidelines, which were included in the design of an IME and contributed to the greater personalized monitoring available to teachers to evaluate student learning.",Journal Article,https://doi.org/10.3390/app14177645,https://www.proquest.com/scholarly-journals/work-route-inclusion-learning-analytics/docview/3103881466/se-2?accountid=14643,,,Sciences: Comprehensive Works | interactive multimedia experiences | learning analytics | guidelines | work route | Students | Multimedia | Low income groups | Emerging markets | Design | Educational technology | Elementary education | Community | Learning analytics | Designers | Gamification | Systematic review | Teachers | Colombia,MDPI AG,,,"Copyright - © 2024 by the authors.  Licensee MDPI, Basel, Switzerland. This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution (CC BY) license (https://creativecommons.org/licenses/by/4.0/).  Notwithstanding the ProQuest Terms and Conditions, you may use this content in accordance with the terms of the License. | Última atualização em - 2024-09-13 | SubjectsTermNotLitGenreText - Colombia",É um estudo primário sobre LA e não sobre LAD,"45598,5943171296","45598,6311226852",thiagogomesverissimo,thiagogomesverissimo,Rejected,
,Perceiving {Learning} at a {Glance}: {A} {Systematic} {Literature} {Review} of {Learning} {Dashboard} {Research},"Schwendimann, Beat A. and Rodriguez-Triana, Maria Jesus and Vozniuk, Andrii and Prieto, Luis P. and Boroujeni, Mina Shirvani and Holzer, Adrian and Gillet, Denis and Dillenbourg, Pierre",IEEE Transactions on Learning Technologies,2017,Eric,30--41,10,"This paper presents a systematic literature review of the state-of-the-art of research on learning dashboards in the fields of Learning Analytics and Educational Data Mining. Research on learning dashboards aims to identify what data is meaningful to different stakeholders and how data can be presented to support sense-making processes. Learning dashboards are becoming popular due to the increased use of educational technologies, such as Learning Management Systems (LMS) and Massive Open Online Courses (MOOCs). The initial search of five main academic databases and GScholar resulted in 346 papers out of which 55 papers were included in the final analysis. Our review distinguishes different kinds of research studies as well as various aspects of learning dashboards and their maturity regarding evaluation. As the research field is still relatively young, most studies are exploratory and proof-of-concept. The review concludes by offering a definition for learning dashboards and by outlining open issues and future lines of work in the area of learning dashboards. There is a need for longitudinal research in authentic settings and studies that systematically compare different dashboard designs.",,,,,,"Computer Software Evaluation, Data Analysis, Data Processing, Database Management Systems, Educational Environment, Educational Research, Educational Technology, Learning Activities, Literature Reviews, Online Courses, Performance Factors, Usability, Users (Information), Visualization",,1939-1382,English,ERIC Number: EJ1141028,,"45598,5934837963","45598,6129861111",thiagogomesverissimo,thiagogomesverissimo,Duplicated,
,Towards a {Partnership} of {Teachers} and {Intelligent} {Learning} {Technology}: {A} {Systematic} {Literature} {Review} of {Model}-{Based} {Learning} {Analytics},"Ley, Tobias and Tammets, Kairit and Pishtari, Gerti and Chejara, Pankaj and Kasepalu, Reet and Khalil, Mohammad and Saar, Merike and Tuvi, Iiris and Väljataga, Terje and Wasson, Barbara",Journal of Computer Assisted Learning,2023,Eric,1397--1417,39,"Background: With increased use of artificial intelligence in the classroom, there is now a need to better understand the complementarity of intelligent learning technology and teachers to produce effective instruction. Objective: The paper reviews the current research on intelligent learning technology designed to make models of student learning and instruction transparent to teachers, an area we call model-based learning analytics. We intended to gain an insight into the coupling between the knowledge models that underpin the intelligent system and the knowledge used by teachers in their classroom decision making. Methods: Using a systematic literature review methodology, we first identified 42 papers, mainly from the domain of intelligent tutoring systems and learning analytics dashboards that conformed to our selection criteria. We then qualitatively analysed the context in which the systems were applied, models they used and benefits reported for teachers and learners. Results and Conclusions: A majority of papers used either domain or learner models, suggesting that instructional decisions are mostly left to teachers. Compared to previous reviews, our set of papers appeared to have a stronger focus on providing teachers with theory-driven insights and instructional decisions. This suggests that model-based learning analytics can address some of the shortcomings of the field, like meaningfulness and actionability of learning analytics tools. However, impact in the classroom still needs further research, as in half of the cases the reported benefits were not backed with evidence. Future research should focus on the dynamic interaction between teachers and technology and how learning analytics has an impact on learning and decision making by teachers and students. We offer a taxonomy of knowledge models that can serve as a starting point for designing such interaction.",,,,,,"Artificial Intelligence, Decision Making, Educational Benefits, Instructional Effectiveness, Learning Analytics, Models, Taxonomy, Technology Uses in Education",,1365-2729,English,ERIC Number: EJ1391972,"É uma revisão sistemática em Learning Analytics, mas não focada apenas em LAD","45598,5934837963","45598,6111805556",thiagogomesverissimo,thiagogomesverissimo,Rejected,
