id,created_at,updated_at,autorizado_em,file_id
2,2021-05-21 15:42:59.000,2021-06-23 18:11:29.000,2021-06-23 18:11:29.000,2167
3,2021-05-21 15:45:33.000,2021-06-23 18:18:28.000,2021-06-23 18:18:28.000,2167
5,2021-05-28 17:29:31.000,2021-06-23 18:17:30.000,2021-06-23 18:17:30.000,2006
6,2021-05-29 13:15:45.000,2021-06-23 18:17:41.000,2021-06-23 18:17:41.000,2127
8,2021-06-22 19:03:59.000,2021-06-23 18:18:04.000,2021-06-23 18:18:04.000,2165
9,2021-06-22 19:04:07.000,2021-06-23 18:18:13.000,2021-06-23 18:18:13.000,2165
10,2021-06-23 18:14:55.000,2021-06-23 18:15:27.000,2021-06-23 18:15:27.000,2006
16,2021-06-24 10:15:32.000,2021-06-24 10:16:09.000,2021-06-24 10:16:09.000,2006
17,2021-06-24 15:29:57.000,2021-06-30 20:11:43.000,2021-06-30 20:11:43.000,902
21,2021-07-17 17:52:37.000,2021-07-18 14:27:48.000,2021-07-18 14:27:48.000,2325
22,2021-08-03 09:15:46.000,2021-08-03 14:38:30.000,2021-08-03 14:38:30.000,2341
23,2021-08-03 17:33:01.000,2021-08-03 18:26:54.000,2021-08-03 18:26:54.000,997
24,2021-08-05 12:44:47.000,2021-08-05 16:06:54.000,2021-08-05 16:06:54.000,2338
25,2021-08-08 15:25:18.000,2021-08-10 10:23:02.000,2021-08-10 10:23:02.000,2306
26,2021-08-10 11:56:01.000,2021-08-10 12:04:33.000,2021-08-10 12:04:33.000,2179
27,2021-08-10 12:13:44.000,2021-08-10 12:27:47.000,2021-08-10 12:27:47.000,2182
28,2021-08-11 16:24:39.000,2021-08-11 18:02:13.000,2021-08-11 18:02:13.000,2338
31,2021-08-18 17:00:03.000,2021-08-18 17:04:53.000,2021-08-18 17:04:53.000,2338
33,2021-08-19 18:00:18.000,2021-08-19 18:52:30.000,2021-08-19 18:52:30.000,2338
34,2021-08-19 22:27:19.000,2021-08-20 10:10:38.000,2021-08-20 10:10:38.000,2295
36,2021-08-30 12:57:31.000,2021-08-30 13:10:48.000,2021-08-30 13:10:48.000,2341
37,2021-09-03 22:19:40.000,2021-09-07 19:32:40.000,2021-09-07 19:32:40.000,2338
38,2021-09-07 18:51:16.000,2021-09-07 19:32:43.000,2021-09-07 19:32:43.000,2338
39,2021-09-08 14:32:36.000,2021-09-08 14:54:21.000,2021-09-08 14:54:21.000,2445
40,2021-09-11 07:50:38.000,2021-09-11 17:02:40.000,2021-09-11 17:02:40.000,2304
41,2021-09-16 20:20:37.000,2021-09-17 07:35:11.000,2021-09-17 07:35:11.000,2338
42,2021-09-17 18:03:55.000,2021-09-20 09:11:12.000,2021-09-20 09:11:12.000,2338
43,2021-09-18 23:23:52.000,2021-09-20 09:11:14.000,2021-09-20 09:11:14.000,2338
44,2021-09-22 12:06:01.000,2021-09-22 12:06:36.000,2021-09-22 12:06:36.000,2442
45,2021-09-26 16:57:11.000,2021-09-27 07:23:24.000,2021-09-27 07:23:24.000,2338
46,2021-09-28 20:25:50.000,2021-09-29 12:23:07.000,2021-09-29 12:23:07.000,2651
47,2021-09-30 01:06:54.000,2021-09-30 09:15:36.000,2021-09-30 09:15:36.000,2417
48,2021-10-01 23:58:05.000,2021-10-02 08:14:31.000,2021-10-02 08:14:31.000,2333
49,2021-10-02 18:00:46.000,2021-10-02 19:19:57.000,2021-10-02 19:19:57.000,2708
50,2021-10-04 01:38:53.000,2021-10-04 13:22:07.000,2021-10-04 13:22:07.000,2448
51,2021-10-09 14:44:08.000,2021-10-11 08:41:35.000,2021-10-11 08:41:35.000,2851
52,2021-10-13 16:57:55.000,2021-10-13 17:02:09.000,2021-10-13 17:02:09.000,2929
53,2021-10-17 15:02:59.000,2021-10-18 09:42:03.000,2021-10-18 09:42:03.000,2448
54,2021-10-19 07:15:15.000,2021-10-19 09:38:50.000,2021-10-19 09:38:50.000,2719
